# Time-averaged data for fix track_com
# TimeStep c_pfoa_com[1] c_pfoa_com[2] c_pfoa_com[3]
2500 35.4205 31.2136 18.3291
3000 35.3098 31.3033 18.2548
3500 35.1555 31.4336 18.2411
4000 35.206 31.4426 18.0039
4500 35.3482 31.6485 17.991
5000 35.4516 31.6257 18.0419
5500 35.5724 31.6133 17.9562
6000 35.5869 31.7257 17.9356
6500 35.496 31.8462 17.8409
7000 35.502 31.9311 17.8748
7500 35.4556 31.9249 17.7957
8000 35.3291 31.9038 17.7256
8500 35.308 31.8957 17.6496
9000 35.3224 31.9262 17.5883
9500 35.3586 31.9262 17.605
10000 35.4033 31.9549 17.5726
10500 35.3975 31.9402 17.4099
11000 35.354 31.9823 17.4537
11500 35.347 32.0727 17.5521
12000 35.3073 32.0677 17.5159
