# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3]
2500 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 1.15963 0.035
15 1.78483 2.01051 0.105
16 1.90793 3.26773 0.235
17 2.03102 3.77107 0.405
18 2.15411 3.74693 0.595
19 2.2772 1.58822 0.685
20 2.40029 0.953023 0.745
21 2.52339 2.73071 0.935
22 2.64648 2.28665 1.11
23 2.76957 3.22139 1.38
24 2.89266 2.46092 1.605
25 3.01575 3.67297 1.97
26 3.13885 3.80859 2.38
27 3.26194 2.8815 2.715
28 3.38503 2.91539 3.08
29 3.50812 3.4209 3.54
30 3.63121 4.2341 4.15
31 3.75431 4.12336 4.785
32 3.8774 4.68759 5.555
33 4.00049 4.20342 6.29
34 4.12358 4.92511 7.205
35 4.24667 5.48115 8.285
36 4.36977 5.72795 9.48
37 4.49286 3.94478 10.35
38 4.61595 4.61782 11.425
39 4.73904 5.07388 12.67
40 4.86213 5.61393 14.12
41 4.98523 5.76366 15.685
42 5.10832 5.54187 17.265
43 5.23141 5.40121 18.88
44 5.3545 5.57076 20.625
45 5.47759 6.00958 22.595
46 5.60069 6.47782 24.815
47 5.72378 6.09046 26.995
48 5.84687 6.34544 29.365
49 5.96996 6.89544 32.05
50 6.09305 6.81689 34.815
51 6.21615 6.28903 37.47
52 6.33924 6.78742 40.45
53 6.46233 6.45461 43.395
54 6.58542 6.6799 46.56
55 6.70851 6.17263 49.595
56 6.83161 6.39347 52.855
57 6.9547 6.07454 56.065
58 7.07779 6.46805 59.605
59 7.20088 5.9399 62.97
60 7.32397 6.40741 66.725
61 7.44707 5.90027 70.3
62 7.57016 6.04536 74.085
63 7.69325 6.78909 78.475
64 7.81634 6.70429 82.95
65 7.93943 7.34749 88.01
66 8.06253 7.32902 93.215
67 8.18562 7.57472 98.76
68 8.30871 7.57072 104.47
69 8.4318 7.27405 110.12
70 8.55489 7.36014 116.005
71 8.67799 6.63626 121.465
72 8.80108 6.65873 127.1
73 8.92417 7.14865 133.32
74 9.04726 7.62081 140.135
75 9.17035 7.39583 146.93
76 9.29345 6.99985 153.535
77 9.41654 6.99353 160.31
78 9.53963 6.68347 166.955
79 9.66272 6.48977 173.575
80 9.78581 6.94882 180.845
81 9.90891 7.43913 188.825
82 10.032 7.47142 197.04
83 10.1551 7.30027 205.265
84 10.2782 7.43838 213.85
85 10.4013 7.10685 222.25
86 10.5244 6.59037 230.225
87 10.6475 6.66898 238.485
88 10.7706 6.47797 246.695
89 10.8936 7.35052 256.225
90 11.0167 6.97602 265.475
91 11.1398 7.12143 275.13
92 11.2629 7.22277 285.14
93 11.386 6.9792 295.025
94 11.5091 7.21422 305.465
95 11.6322 6.96764 315.765
96 11.7553 6.76619 325.98
97 11.8784 7.03213 336.82
98 12.0015 6.72658 347.405
99 12.1246 6.69343 358.155
100 12.2477 6.64804 369.05
3000 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 0.331322 0.01
15 1.78483 3.44659 0.13
16 1.90793 3.01636 0.25
17 2.03102 3.66016 0.415
18 2.15411 1.77486 0.505
19 2.2772 1.32351 0.58
20 2.40029 1.11186 0.65
21 2.52339 1.6528 0.765
22 2.64648 2.80931 0.98
23 2.76957 3.40036 1.265
24 2.89266 3.00779 1.54
25 3.01575 3.06919 1.845
26 3.13885 3.34413 2.205
27 3.26194 4.77382 2.76
28 3.38503 4.79242 3.36
29 3.50812 5.05698 4.04
30 3.63121 4.58115 4.7
31 3.75431 4.25323 5.355
32 3.8774 5.38768 6.24
33 4.00049 6.20505 7.325
34 4.12358 6.00163 8.44
35 4.24667 5.35427 9.495
36 4.36977 5.10482 10.56
37 4.49286 4.96498 11.655
38 4.61595 5.17625 12.86
39 4.73904 4.7886 14.035
40 4.86213 5.63329 15.49
41 4.98523 6.46341 17.245
42 5.10832 6.75196 19.17
43 5.23141 6.73897 21.185
44 5.3545 6.65618 23.27
45 5.47759 5.93332 25.215
46 5.60069 5.82129 27.21
47 5.72378 5.75521 29.27
48 5.84687 5.50206 31.325
49 5.96996 6.00943 33.665
50 6.09305 7.24834 36.605
51 6.21615 7.61554 39.82
52 6.33924 7.10629 42.94
53 6.46233 6.83816 46.06
54 6.58542 6.81709 49.29
55 6.70851 6.52854 52.5
56 6.83161 5.94239 55.53
57 6.9547 6.38678 58.905
58 7.07779 6.75125 62.6
59 7.20088 7.14024 66.645
60 7.32397 6.8084 70.635
61 7.44707 7.03081 74.895
62 7.57016 7.41895 79.54
63 7.69325 6.6963 83.87
64 7.81634 6.35972 88.115
65 7.93943 7.44913 93.245
66 8.06253 6.60387 97.935
67 8.18562 7.56789 103.475
68 8.30871 7.33206 109.005
69 8.4318 7.25473 114.64
70 8.55489 6.65977 119.965
71 8.67799 7.03736 125.755
72 8.80108 7.14912 131.805
73 8.92417 7.66009 138.47
74 9.04726 7.95069 145.58
75 9.17035 8.02711 152.955
76 9.29345 7.66752 160.19
77 9.41654 7.16386 167.13
78 9.53963 7.53839 174.625
79 9.66272 7.4946 182.27
80 9.78581 6.86757 189.455
81 9.90891 7.11285 197.085
82 10.032 6.69381 204.445
83 10.1551 6.94524 212.27
84 10.2782 7.05282 220.41
85 10.4013 7.14915 228.86
86 10.5244 7.21842 237.595
87 10.6475 6.97175 246.23
88 10.7706 7.66152 255.94
89 10.8936 7.38523 265.515
90 11.0167 6.97979 274.77
91 11.1398 6.94441 284.185
92 11.2629 7.19752 294.16
93 11.386 7.01097 304.09
94 11.5091 6.76852 313.885
95 11.6322 6.38588 323.325
96 11.7553 6.60391 333.295
97 11.8784 6.61371 343.49
98 12.0015 7.00301 354.51
99 12.1246 6.63428 365.165
100 12.2477 7.10264 376.805
3500 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 0.993966 0.03
15 1.78483 3.73381 0.16
16 1.90793 3.51909 0.3
17 2.03102 3.2165 0.445
18 2.15411 1.18324 0.505
19 2.2772 1.85292 0.61
20 2.40029 2.46198 0.765
21 2.52339 2.44327 0.935
22 2.64648 3.20131 1.18
23 2.76957 3.28105 1.455
24 2.89266 3.55466 1.78
25 3.01575 4.98114 2.275
26 3.13885 5.34132 2.85
27 3.26194 5.20389 3.455
28 3.38503 4.9921 4.08
29 3.50812 5.01979 4.755
30 3.63121 5.83056 5.595
31 3.75431 6.33115 6.57
32 3.8774 6.42261 7.625
33 4.00049 6.37662 8.74
34 4.12358 5.84015 9.825
35 4.24667 5.81103 10.97
36 4.36977 5.27259 12.07
37 4.49286 4.82895 13.135
38 4.61595 6.22868 14.585
39 4.73904 6.58178 16.2
40 4.86213 6.13661 17.785
41 4.98523 6.38975 19.52
42 5.10832 5.98031 21.225
43 5.23141 6.58847 23.195
44 5.3545 6.87965 25.35
45 5.47759 6.78747 27.575
46 5.60069 7.14895 30.025
47 5.72378 7.26385 32.625
48 5.84687 6.82737 35.175
49 5.96996 6.1892 37.585
50 6.09305 6.71827 40.31
51 6.21615 6.66804 43.125
52 6.33924 7.73265 46.52
53 6.46233 7.9669 50.155
54 6.58542 7.69296 53.8
55 6.70851 7.53528 57.505
56 6.83161 7.33483 61.245
57 6.9547 7.56006 65.24
58 7.07779 6.76952 68.945
59 7.20088 7.03433 72.93
60 7.32397 6.79987 76.915
61 7.44707 6.72548 80.99
62 7.57016 6.68424 85.175
63 7.69325 7.43862 89.985
64 7.81634 7.21367 94.8
65 7.93943 7.93558 100.265
66 8.06253 7.674 105.715
67 8.18562 7.9777 111.555
68 8.30871 7.78286 117.425
69 8.4318 7.9757 123.62
70 8.55489 7.82913 129.88
71 8.67799 7.44453 136.005
72 8.80108 7.68678 142.51
73 8.92417 7.41873 148.965
74 9.04726 7.67113 155.825
75 9.17035 7.84752 163.035
76 9.29345 7.7417 170.34
77 9.41654 7.51998 177.625
78 9.53963 7.44284 185.025
79 9.66272 7.37206 192.545
80 9.78581 7.46018 200.35
