# Time-averaged data for fix track_com
# TimeStep c_pfoa_com[1] c_pfoa_com[2] c_pfoa_com[3]
2500 18.9159 18.5276 18.7032
3000 18.4188 18.1872 18.7103
3500 18.54 18.3726 18.4576
4000 19.0822 18.804 18.338
4500 19.1594 18.9531 18.7143
5000 19.2139 19.0451 18.8046
5500 19.2142 18.9645 18.4248
6000 19.1818 19.3042 18.6238
6500 19.0604 19.5915 19.1657
7000 19.7871 19.2271 18.8373
7500 19.7242 19.1708 18.77
8000 19.5565 19.3188 18.4665
8500 19.3932 19.4532 18.5895
9000 19.5343 19.1555 18.9346
9500 20.3579 19.187 19.1207
10000 20.1496 18.7286 18.5475
10500 19.5602 18.5959 18.4876
11000 19.7278 18.9544 18.961
11500 19.847 19.3896 18.9994
12000 19.6992 19.4163 18.6207
12500 19.6772 19.2684 18.6635
13000 19.3678 19.6422 18.4886
13500 18.8765 19.8079 18.52
14000 18.4842 20.1027 18.2833
14500 18.6384 19.371 17.8031
15000 19.1267 19.1328 18.0042
15500 19.3481 19.4531 18.1419
16000 19.2923 19.7212 18.1233
16500 19.3433 19.8146 17.9647
17000 19.2866 19.3867 17.9619
17500 19.4815 19.3254 17.9222
18000 19.4171 19.2902 17.5956
18500 19.2953 19.5632 17.7671
19000 18.938 19.8119 17.778
19500 19.4798 19.6895 17.8408
20000 19.2877 19.3795 17.6522
20500 18.8163 19.682 17.144
21000 18.7432 20.2358 17.806
21500 18.8578 20.0553 17.9437
22000 19.4745 19.965 17.5819
