# Chunk-averaged data for fix density_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
2500 250 5117.000000000001
  1 0.5 58.9 0.418601
  2 1.5 193.3 1.46396
  3 2.5 139.5 0.94936
  4 3.5 103.1 0.713766
  5 4.5 174 1.21671
  6 5.5 145.8 1.17378
  7 6.5 91.8 0.538876
  8 7.5 153.6 1.14554
  9 8.5 158.7 1.22695
  10 9.5 112.7 0.667989
  11 10.5 131.1 1.00196
  12 11.5 179.8 1.34018
  13 12.5 109.3 0.688981
  14 13.5 145.5 1.14833
  15 14.5 151.6 1.07325
  16 15.5 98.3 0.647057
  17 16.5 128.1 0.939212
  18 17.5 167.8 1.30723
  19 18.5 110.4 0.864162
  20 19.5 127.9 0.968858
  21 20.5 170 1.32719
  22 21.5 100.4 0.672883
  23 22.5 125.2 0.948259
  24 23.5 164.2 1.17265
  25 24.5 114 0.836208
  26 25.5 125.8 0.832505
  27 26.5 161.3 1.23008
  28 27.5 126 0.888296
  29 28.5 112.8 0.786379
  30 29.5 152.2 1.10802
  31 30.5 150.6 1.1258
  32 31.5 84.8 0.521483
  33 32.5 129.6 0.964312
  34 33.5 198.4 1.5149
  35 34.5 109.2 0.642269
  36 35.5 119 0.860151
  37 36.5 172.3 1.31322
  38 37.5 92 0.675306
  39 38.5 18.1 0.0827329
  40 39.5 0.4 0.000481905
  41 40.5 0 0
  42 41.5 0 0
  43 42.5 0 0
  44 43.5 0 0
  45 44.5 0 0
  46 45.5 0 0
  47 46.5 0 0
  48 47.5 0 0
  49 48.5 0 0
  50 49.5 0 0
  51 50.5 0 0
  52 51.5 0 0
  53 52.5 0 0
  54 53.5 0 0
  55 54.5 0 0
  56 55.5 0 0
  57 56.5 0 0
  58 57.5 0 0
  59 58.5 0 0
  60 59.5 0 0
  61 60.5 0 0
  62 61.5 0 0
  63 62.5 0 0
  64 63.5 0 0
  65 64.5 0 0
  66 65.5 0 0
  67 66.5 0 0
  68 67.5 0 0
  69 68.5 0 0
  70 69.5 0 0
  71 70.5 0 0
  72 71.5 0 0
  73 72.5 0 0
  74 73.5 0 0
  75 74.5 0 0
  76 75.5 0 0
  77 76.5 0 0
  78 77.5 0 0
  79 78.5 0 0
  80 79.5 0 0
  81 80.5 0 0
  82 81.5 0 0
  83 82.5 0 0
  84 83.5 0 0
