# Time-averaged data for fix track_energy
# TimeStep v_tot_eng
2500 -18416.3
3000 -19147.9
3500 -19372.5
4000 -19351.3
4500 -19545.5
5000 -19591
5500 -19617
6000 -19711.4
6500 -19663.7
7000 -19789.7
7500 -19757.8
8000 -19870
8500 -19981.2
9000 -19941.5
9500 -19836.7
10000 -19947
10500 -19959.7
11000 -20074.6
11500 -19884
12000 -20043.9
12500 -20088.1
13000 -19940.9
13500 -19941.5
14000 -20006.2
14500 -20018.7
15000 -19943.8
15500 -20035.6
16000 -19916.5
16500 -20066
17000 -20109.6
17500 -19971.4
18000 -20024
18500 -20109.6
19000 -20095.4
19500 -19998.8
20000 -20019.7
20500 -19916.2
21000 -20011.8
21500 -20143.7
22000 -20175.3
