# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3] c_rdf_calc[4] c_rdf_calc[5]
2500 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 0 0 0 0
20 2.40029 0 0 0 0
21 2.52339 0 0 0 0
22 2.64648 0 0 0 0
23 2.76957 0 0 0 0
24 2.89266 0 0 3.16194 0.4
25 3.01575 0 0 2.18184 0.7
26 3.13885 0 0 4.69955 1.4
27 3.26194 1.86497 0.3 1.86497 1.7
28 3.38503 2.88636 0.8 1.15455 1.9
29 3.50812 4.83729 1.7 3.22486 2.5
30 3.63121 6.52157 3 3.00995 3.1
31 3.75431 7.03958 4.5 0.938611 3.3
32 3.8774 4.83982 5.6 1.75994 3.7
33 4.00049 7.02655 7.3 1.65331 4.1
34 4.12358 6.22433 8.9 1.9451 4.6
35 4.24667 5.50195 10.4 2.56758 5.3
36 4.36977 4.50352 11.7 1.73212 5.8
37 4.49286 2.94933 12.6 0.983111 6.1
38 4.61595 0.31046 12.7 3.1046 7.1
39 4.73904 3.23997 13.8 3.82906 8.4
40 4.86213 4.4771 15.4 5.87619 10.5
41 4.98523 5.05726 17.3 10.913 14.6
42 5.10832 6.84448 20 5.57699 16.8
43 5.23141 5.31764 22.2 7.25133 19.8
44 5.3545 4.61452 24.2 5.76815 22.3
45 5.47759 5.29136 26.6 5.51183 24.8
46 5.60069 5.48311 29.2 9.70089 29.4
47 5.72378 4.44216 31.4 5.65366 32.2
48 5.84687 3.28958 33.1 5.61163 35.1
49 5.96996 2.96972 34.7 6.68187 38.7
50 6.09305 4.63279 37.3 4.09824 41
51 6.21615 3.76634 39.5 6.16311 44.6
52 6.33924 5.76148 43 5.26764 47.8
53 6.46233 5.22729 46.3 4.27687 50.5
54 6.58542 7.16922 51 5.33878 54
55 6.70851 8.96642 57.1 5.14466 57.5
56 6.83161 9.49667 63.8 6.37836 62
57 6.9547 9.02672 70.4 6.97519 67.1
58 7.07779 6.9988 75.7 6.86675 72.3
59 7.20088 5.74096 80.2 7.65461 78.3
60 7.32397 6.04291 85.1 7.52281 84.4
61 7.44707 6.56049 90.6 7.1569 90.4
62 7.57016 4.50193 94.5 5.30997 95
63 7.69325 5.25319 99.2 5.47673 99.9
64 7.81634 5.95526 104.7 4.43937 104
65 7.93943 5.35225 109.8 4.61763 108.4
66 8.06253 6.20773 115.9 5.19007 113.5
67 8.18562 6.81227 122.8 6.12117 119.7
68 8.30871 7.09105 130.2 6.32445 126.3
69 8.4318 6.60638 137.3 5.67591 132.4
70 8.55489 6.14647 144.1 6.86959 140
71 8.67799 5.18276 150 6.76394 147.7
72 8.80108 5.97824 157 8.02792 157.1
73 8.92417 7.22654 165.7 7.64186 166.3
74 9.04726 5.5765 172.6 4.84913 172.3
75 9.17035 6.21444 180.5 6.84375 181
76 9.29345 5.43816 187.6 6.81685 189.9
77 9.41654 6.71441 196.6 6.04297 198
78 9.53963 6.9784 206.2 6.25149 206.6
79 9.66272 6.30578 215.1 5.88067 214.9
80 9.78581 7.25343 225.6 4.9047 222
81 9.90891 8.35446 238 5.79422 230.6
82 10.032 7.099 248.8 5.19279 238.5
83 10.1551 7.12039 259.9 7.95431 250.9
84 10.2782 6.26204 269.9 5.8237 260.2
85 10.4013 7.82683 282.7 8.07141 273.4
86 10.5244 6.51004 293.6 10.5116 291
87 10.6475 6.18533 304.2 8.28601 305.2
88 10.7706 7.01421 316.5 6.72908 317
89 10.8936 5.51872 326.4 7.2468 330
90 11.0167 5.34158 336.2 6.92225 342.7
91 11.1398 6.13042 347.7 6.50358 354.9
92 11.2629 6.62295 360.4 7.77023 369.8
93 11.386 6.53155 373.2 7.09286 383.7
94 11.5091 6.59236 386.4 5.94311 395.6
95 11.6322 6.89359 400.5 5.42687 406.7
96 11.7553 6.31913 413.7 4.78722 416.7
97 11.8784 6.79835 428.2 5.20426 427.8
98 12.0015 6.4759 442.3 5.14398 439
99 12.1246 6.30008 456.3 6.70509 453.9
100 12.2477 5.24797 468.2 6.21818 468
3000 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 3.82619 0.3 0 0
20 2.40029 18.3675 1.9 0 0
21 2.52339 3.11617 2.2 0 0
22 2.64648 2.83309 2.5 1.88873 0.2
23 2.76957 0.862299 2.6 4.31149 0.7
24 2.89266 4.7429 3.2 2.37145 1
25 3.01575 2.18184 3.5 3.6364 1.5
26 3.13885 5.37091 4.3 1.34273 1.7
27 3.26194 4.97326 5.1 1.86497 2
28 3.38503 5.19545 6 0 2
29 3.50812 8.06216 7.5 3.22486 2.6
30 3.63121 9.53152 9.4 4.01327 3.4
31 3.75431 7.03958 10.9 4.69305 4.4
32 3.8774 3.95985 11.8 4.83982 5.5
33 4.00049 2.06663 12.3 2.47996 6.1
34 4.12358 0 12.3 5.83531 7.6
35 4.24667 1.83398 12.8 3.66797 8.6
36 4.36977 3.81067 13.9 3.11782 9.5
37 4.49286 3.60474 15 4.58785 10.9
38 4.61595 3.1046 16 4.96736 12.5
39 4.73904 3.82906 17.3 6.47994 14.7
40 4.86213 5.59638 19.3 7.55511 17.4
41 4.98523 6.38812 21.7 7.18664 20.1
42 5.10832 6.84448 24.4 4.56299 21.9
43 5.23141 7.73475 27.6 5.31764 24.1
44 5.3545 4.15307 29.4 3.92234 25.8
45 5.47759 3.96852 31.2 4.85041 28
46 5.60069 5.27223 33.7 6.11578 30.9
47 5.72378 8.48049 37.9 4.03833 32.9
48 5.84687 5.80513 40.9 4.64411 35.3
49 5.96996 4.08336 43.1 6.31065 38.7
50 6.09305 4.81097 45.8 7.8401 43.1
51 6.21615 4.27994 48.3 5.82071 46.5
52 6.33924 6.58455 52.3 5.59687 49.9
53 6.46233 6.81131 56.6 6.81131 54.2
54 6.58542 6.86415 61.1 6.10146 58.2
55 6.70851 5.14466 64.6 7.6435 63.4
56 6.83161 6.80358 69.4 7.79577 68.9
57 6.9547 6.29135 74 6.97519 74
58 7.07779 5.54622 78.2 5.94238 78.5
59 7.20088 6.634 83.4 7.52703 84.4
60 7.32397 6.78286 88.9 6.41288 89.6
61 7.44707 7.27618 95 5.60624 94.3
62 7.57016 8.31126 102.2 6.92605 100.3
63 7.69325 4.58257 106.3 4.80611 104.6
64 7.81634 4.76421 110.7 6.82148 110.9
65 7.93943 4.0929 114.6 8.71052 119.2
66 8.06253 3.66358 118.2 8.24306 127.3
67 8.18562 3.94914 122.2 7.20718 134.6
68 8.30871 6.42027 128.9 5.27037 140.1
69 8.4318 6.32724 135.7 7.07162 147.7
70 8.55489 6.68881 143.1 6.23686 154.6
71 8.67799 7.64237 151.8 5.97335 161.4
72 8.80108 6.91767 159.9 5.80743 168.2
73 8.92417 4.98382 165.9 5.98059 175.4
74 9.04726 6.54633 174 5.5765 182.3
75 9.17035 5.82112 181.4 5.50647 189.3
76 9.29345 7.65939 191.4 6.43388 197.7
77 9.41654 6.26678 199.8 5.81915 205.5
78 9.53963 8.35954 211.3 5.88803 213.6
79 9.66272 8.50218 223.3 5.24301 221
80 9.78581 7.94423 234.8 6.76987 230.8
81 9.90891 7.41122 245.8 6.4006 240.3
82 10.032 4.66694 252.9 6.37596 250
83 10.1551 6.35062 262.8 5.45255 258.5
84 10.2782 6.57515 273.3 6.1368 268.3
85 10.4013 7.45994 285.5 6.78733 279.4
86 10.5244 6.27114 296 6.80866 290.8
87 10.6475 5.83522 306 5.89357 300.9
88 10.7706 5.4745 315.6 6.38692 312.1
89 10.8936 6.07616 326.5 6.2434 323.3
90 11.0167 8.23039 341.6 6.75873 335.7
91 11.1398 7.35651 355.4 7.40982 349.6
92 11.2629 8.08313 370.9 6.98799 363
93 11.386 5.76614 382.2 6.37847 375.5
94 11.5091 5.44369 393.1 7.09178 389.7
95 11.6322 5.62243 404.6 6.55136 403.1
96 11.7553 6.07977 417.3 6.65424 417
97 11.8784 6.23573 430.6 5.90753 429.6
98 12.0015 7.53226 447 5.28176 441.1
99 12.1246 6.21008 460.8 5.89507 454.2
100 12.2477 6.43869 475.4 6.26228 468.4
3500 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 0 0 0 0
20 2.40029 0 0 0 0
21 2.52339 1.03872 0.1 1.03872 0.1
22 2.64648 0.944363 0.2 0.944363 0.2
23 2.76957 0.862299 0.3 3.44919 0.6
24 2.89266 7.11435 1.2 3.95242 1.1
25 3.01575 13.091 3 2.18184 1.4
26 3.13885 8.05637 4.2 2.01409 1.7
27 3.26194 6.83823 5.3 4.3516 2.4
28 3.38503 4.04091 6 3.46364 3
29 3.50812 6.44972 7.2 3.22486 3.6
30 3.63121 2.50829 7.7 4.51493 4.5
31 3.75431 2.34653 8.2 3.75444 5.3
32 3.8774 0.879968 8.4 3.07989 6
33 4.00049 5.37324 9.7 2.89329 6.7
34 4.12358 5.83531 11.2 3.8902 7.7
35 4.24667 8.43633 13.5 4.76836 9
36 4.36977 6.58207 15.4 4.84995 10.4
37 4.49286 3.60474 16.5 3.93244 11.6
38 4.61595 4.34644 17.9 5.89874 13.5
